Austrian Command											
Card	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	Archduke Charles	–	"Revolution, Early War"	"Revolution, Early, Mid Wars"	2	1	1	1	3	"Peerless; If present, must be Army Commander, 1809."	
	Archduke Ferdinand	"Revolution, Early, Mid Wars"	Mid War	Late War	1	0	0	1	2	"Mass Cavalry; May Convert Cavalry in additional Combats.
Chosen Successor; If Ferdinand is present when Mack is removed by Leader Fate, Ferdinand replaces Mack as the new Army/Force Commander."	
	Archduke John	–	"Revolution, Early, Mid War"	"Revolution, Early, Mid War"	1	0	0	1	2		
	Archduke Louis	–	Mid War	–	1	1	0	0	1	Request for Reassignment; Ludwig gives up his command after the first phase of the 1809 campaign and does not hold a field command again. Unavailable after May 1809.	
	Alvinczy	Revolution	Revolution	–	2	0	0	2	2		
	D’Aspré	"Revolution, Early, Mid Wars"	–	–	1	0	0	2	1	"Captain of Grenadiers; May command Grenadier Formations.
A Date with Death; d’Aspré is killed near Aderklaa during the Battle of Wagram, 6 July 1809. -2 Leader Fate, 1809. Unavailable after 1809."	
	Au?enberg	Revolution	"Revolution, Early War"	–	1	0	1	0	2	"Predictable Court-Martial; Au?enberg is tried for his conduct in the 1805 campaign that got his command destroyed at Wertingen, he’s deactivated and two years later dismissed from the army. Unavailable after 1805."	
	Bellegarde	Early War	"Revolution, Early, Mid Wars"	"Revolution, Mid, Late Wars"	2	0	0	1	2		
	Bianchi	"Mid, Late Wars"	Late War	–	2	0	1	2	2	"Chosen Successor; If Bianchi’s Force Commander is removed by Leader Fate, Bianchi takes over command of the Force.
Captain of Grenadiers; May command Grenadier Formations."	
	Bubna	Late War	Late War	–	2	1	3	1	2	"Preferred Assignment; Bubna must command a Leichten Division, 1813."	
	Chasteler	"Early, Mid, Late Wars"	"Mid, Late Wars"	–	2	0	1	1	2		
	H. Colloredo-Mannsfeld	"Early, Mid, Late Wars"	"Mid, Late War"	–	2	0	0	2	2	"Flirts with Death; -1 Leader Fate, +2 if Harmed, 1809, 1813, 1814."	
	Davidovich	Mid War	"Revolution, Early, Mid Wars"	–	1	2	2	1	2		
	Dedovich	"Early, Mid Wars"	Mid War	–	2	2	2	1	2		
	Frierenberger	Late War	–	–	1	2	2	0	1	"Grand Battery; May command Grand Batteries.
Flirts with Death; -1 Leader Fate, +2 if Harmed, 1813."	
	Frimont	"Revolution, Early, Mid, Late Wars"	"Mid, Late War"	Late War	1	1	1	1	2	Mass Cavalry; May Convert Cavalry in additional Combats.	
Card	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	M. Fröhlich	Revolution	Revolution	–	2	0	0	1	2		
	A. Gyulai	–	Mid War	–	1	0	2	1	2	"Flirts with Death; -1 Leader Fate, +2 if Harmed, 1799.
Mass Cavalry; May Convert Cavalry in additional Combats."	
	I. Gyulai	"Revolution, Early War"	"Mid, Late Wars"	–	2	0	2	2	2	Captain of Grenadiers; May command Grenadier Formations.	
	F. Hessen-Homburg	"Revolution, Early War"	"Early, Mid, Late Wars"	Late War	2	0	0	1	2	"Mass Cavalry; May Convert Cavalry in additional Combats.
Flirts with Death; Hessen-Homburg is wounded at Leipzig but returns to command in 1814. -1 in Leader Fate, +2 if Harmed, 1813."	
	P. Hessen-Homburg	"Mid, Late Wars"	Late War	–	2	0	0	2	2	Mass Cavalry; May Convert Cavalry in additional Combats.	
	Hiller	Revolution	"Early, Mid, Late Wars"	"Mid, Late Wars"	2	1	1	2	3	"Hey Now, Slow Down; Multiple times in 1809, Hiller assumes the French will move slowly – because that is how war works? When issuing an Objective for a subordinate Force, his Command Bonus is
+0, 1809."	
	Hohenlohe-Ingelfingen	"Revolution, Early War"	–	–	2	0	0	2	2	"Mass Cavalry; May Convert Cavalry in additional Combats. Retirement Bliss; Hohenlone retires 26 December 1809 to his estate in Kasche (Police, Slovenská Republic). Unavailable after 1809."	
	Hohenzollern-Hechingen	"Revolution, Early War"	"Mid, Late Wars"	–	2	0	1	1	2	Mass Cavalry; May Convert Cavalry in additional Combats.	
	Jellachich	"Revolution, Early, Mid Wars"	Mid War	–	1	0	2	2	1		
	Kienmayer	"Revolution, Early War"	"Early, Mid Wars"	–	2	0	0	1	2	Mass Cavalry; May Convert Cavalry in additional Combats.	
	Klenau	"Revolution, Early, Mid Wars"	"Mid, Late Wars"	–	2	0	1	2	2	Mass Cavalry; May Convert Cavalry in additional Combats.	
	Kolowrat-Krakowsky	"Revolution, Early War"	"Early, Mid, Late Wars"	–	1	2	2	1	1	Unfortunately Ill; Kolowrat falls ill during the 1813 campaign and resigns his field command. Unavailable after 1813.	
	Kottulinsky	"Early, Mid Wars"	–	–	1	0	0	1	1	Retirement Bliss; Kottulinsky retires from the service after the 1809 campaign. Unavailable after 1809.	
	Kray	–	Revolution	Revolution	2	0	0	3	3	Good Ol’Days; Kray is a poster child for the Ancien Régime methodologies. All Infantry Formations in Kray’s command must receive the Parallel Deployment Trait.	
	Langenau	–	–	–	2	3	3	1	2	"Grand Battery; May command Grand Batteries, 1813-1814. Generalquartiermeister; May act as a sta? o?cer to Schwarzenberg, providing an addition +1 to Schwarzenberg’s Command when in contact, maximum of Command +4, 1813-1815."	
	J. Liechtenstein	"Revolution, Early War"	"Revolution, Early, Mid Wars"	–	2	0	0	2	3	"Mass Cavalry; May Convert Cavalry in additional Combats.
Retirement Bliss; Retiring after Znaim, he is unavailable after 1809."	
	M. Liechtenstein	"Revolution, Early, Mid, Late Wars"	–	–	2	0	2	2	2	"Mass Cavalry; May Convert Cavalry in additional Combats.
Flirts with Death; -1 Leader Fate, +2 if Harmed, 1799, 1809. Specific Talent; All bonuses are +3 when Commanding a Formation with an active Withdrawal [W] Directive."	
Card	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	Lindenau	"Revolution, Early, Mid Wars"	–	–	2	0	1	2	3	Captain of Grenadiers; May command Grenadier Formations. Retirement Bliss; Lindenau retires after the 1809 campaign and dies in Vienna on 21 February 1817. Unavailable after 1809.	
	Loudon	Revolution	"Early War, Mid War"	–	1	0	0	0	1	"Retire Once, Retire Twice; After the defeat of 1805 Loudon retires but is recalled in 1809 when he commands a ReserveArmeeKorps. Once that war is also lost Loudon is content to retire again.
Unavailable after 1809."	
