British Command											
Card Available	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	Moore	"Revolution, Early War"	"Revolution, Early, Mid Wars"	"Revolution, Early, Mid Wars"	2	0	1	2	2	"A Date with Death; Moore is mortally wounded by artillery fire at Coruña and dies shortly after the battle ends. Once the British vacated Coruña, Maréchal Soult orders the French army  to build a monument over Moore’s grave to honor their opponent, -2 to Leader Fate, 1809. Unavailable after January 1809."	
	Wellington	Revolution	"Revolution, Early, Mid, Late Wars"	"Mid, Late Wars"	3	0	3	3	3	"Charmed Death; +2 to Leader Fate, 1808-1815.
Peerless; If present, must be Army Commander, 1809-1815.
Limited Delegation; Wellington’s Army is limited to a maximum of two English Forces: the first must be commanded by Wellington, a second must be a Cavalry Force, any additional Forces must be Spanish, 1809-1812."	
	Hill	"Early, Mid, Late Wars"	"Mid, Late Wars"	Late War	2	1	2	2	3	"Daddy Hill; If in Personal Command roll 1D6 during Recovery, on a ‘6’, the Formation Recovers -2 instead of -1 Fatigue."	
	Craufurd	"Early, Mid Wars"	–	–	3	1	3	3	3	"By Popular Demand; Craufurd must command the Light Division, 1810-1812. Black Bob; The Light Division gains Rapid Deployment and either Enthusiastic or Stoic, the controlling player must choose at the start of the game.
Outpost Duty; French Forces within 1 mile (12”) of Light Division may not use dummy Objective markers.
A Date with Death; Craufurd is mortally wounded at Ciudad Rodrigo, dying four days later. -2 to Leader Fate, 1812. Unavailable after January 1812."	
	Beresford	"Mid, Late Wars"	"Mid, Late Wars"	"Mid, Late Wars"	2	0	2	1	2	"Marechal-general de Portugal; May issue orders to Portuguese Forces and Formations even if not commanding them, 1810-1814.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1812.
Chosen Successor; If Wellington is removed by Leader Fate, Beresford must take command of the Army, after March 1812."	
	Graham	"Mid, Late Wars"	Late Wars	–	2	0	2	2	3	"Chosen Successor; If Wellington is removed by Leader Fate, Graham must take command of the Army, January to March 1812."	
	Picton	"Mid, Late Wars"	Late Wars	–	1	0	2	2	2	"Otherwise Engaged; Picton is unavailable until 1810.
Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1812.
A Date with Death; Picton is the most senior British o?cer killed at Waterloo.
-2 to Leader Fate, 1815."	
	Cotton	"Early, Mid, Late Wars"	"Mid, Late Wars"	–	2	0	0	1	1	"Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1812.
Preferred Assignment; May only command Cavalry.
Mass Cavalry; May Convert Cavalry Formations in additional Combats."	
	Packenham	"Mid, Late Wars"	–	–	1	0	2	1	2	"Otherwise Engaged; Pakenham accepts command of British forces in North America at the end of the War of 1812. At the Battle of New Orleans, Pakenham is wounded by short range munitions from American artillery which explodes his knee, while being helped up by an aide, he is struck again in the arm. Once mounted on the aide’s horse he is struck a third time, this time in the spine. He dies shortly thereafter, after directing his second-in-command to take command and commit the reserves. Unavailable after August 1814."	
	Leith	"Mid, Late Wars"	–	–	1	0	2	1	1	"Otherwise Engaged; Appointed governor of the Leeward Islands in 1814, Leith is focused on suppressing Napoléon’s supporters there through 1815. Unavailable after January 1814.
Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1812, 1813."	
Card Available	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	Cole	"Early, Mid, Late Wars"	Late Wars	–	2	1	2	2	2	"Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1811-1812.
Otherwise Engaged; Appointed to command the Northern Military District in 1815, Cole misses the Waterloo Campaign. Unavailable 1815."	
	Uxbridge	"Mid, Late Wars"	Late Wars	–	1	0	1	1	1	"Preferred Assignment; May only command Cavalry.
Mass Cavalry; May Convert Cavalry Formations in additional Combats.
Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1815."	
	Hope	"Mid, Late Wars"	–	–	1	0	2	1	2	"Chosen Successor; If Moore is removed by Leader Fate, Hope must take command of the Army, 1808-1809.
Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1814."	
13	13			Rated 3	2	0	2	2	4		
				Rated 2	6	0	8	5	6		
				Rated 1	5	3	2	6	3		
				Rated 0	0	10	1	0	0		
