French Command											
Card Available	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	Napoléon	Revolution	Revolution	"Revolution, Early, Mid, Late Wars"	3	3	3	3	3	"Peerless; If present, must be Army Commander, 1797-1815.
Les Grognards; At least one Garde des Consuls/Garde Impériale Formation is required, 1799-1815.
Charmed Death; +2 to Leader Fate.
Dispatch ADCs; May replace Commanders and Harmed Maréchals with ADCs.
Grand Battery; May command Grand Batteries.
Fate of an Empire; If Napoléon dies, the French lose, 1805-1815."	
	Arrighi	"Mid, Late Wars"	Late War	–	1	0	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1796-1799; ADC to Berthier, 1805. Mass Cavalry; May Convert Cavalry Formations in additional Combats. Charmed Death; +2 to Leader Fate.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1799."	
	Augereau	Revolution	"Early, Mid, Late Wars"	"Mid, Late Wars"	1	0	1	1	2	"Some Very Good Years; During the Revolution Augereau’s Command is +2, 1792-1803.
Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815."	
	Bernadotte	Revolution	"Early, Mid Wars"	–	1	1	2	1	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1810.
Preferred Assignment; A Saxon Force must be commanded by Bernadotte, 1809.
Traitor to the Emperor; Unavailable, 1810-1815."	
	Berthier	–	–	"Revolution, Early, Mid Wars"	1	0	1	1	1	"Maréchal d’Empire; 1804-1815.
Dispatch ADCs; May replace Commanders and Harmed Maréchals with ADCs.
Major-général; If present, must act as chief-of-sta? to Napoléon, providing a
+1 to Napoléon’s Command when in contact, maximum of Command +4, 1796-1814.
Chosen Successor; If Napoléon is not present, or is removed by Leader Fate, Berthier must command the Army, does not su?er or trigger Maréchal penalties, 1796-1811.
An Inconvenient Death; He suspiciously falls from a window on 1 June, preventing him from participating in the final act of the Napoleonic Wars. Unavailable, 1815."	
	Bertrand	"Early, Mid Wars"	Late War	–	1	1	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1799-1812."	
	Bessières	"Revolution, Early Wars"	"Early, Mid, Late Wars"	–	1	1	2	2	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1813.
Captain of the Guard; May Command Garde Impériale Forces & Formations, 1798-1813.
Mass Cavalry; May Convert Cavalry Formations in additional Combats. An Untimely Death; Bessières is killed by a cannonball on 1 May while scouting a defile at Poserna-Rippach. Unavailable after April 1813."	
	Bordesoulle	"Mid, Late Wars"	Late War	–	2	1	1	1	2	"Aide-de-Camp; ADC to Napoléon, 1804-1812.
Captain of the Guard; May command Garde Impériale Cavalry Formations, 1814.
Mass Cavalry; May Convert Cavalry Formations in additional Combats."	
	Brune	Revolution	Early War	Revolution	1	0	1	0	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815."	
	Ca?arelli	"Early, Mid Wars"	Mid War	–	2	1	2	1	2	Aide-de-Camp; ADC to Napoléon 1800-1806 & 1813-1815.	
	Caulaincourt	–	–	–	3	0	1	1	2	"Aide-de-Camp; ADC to Napoléon, 1804-1807, 1812-1815.
Mass Cavalry; May Convert Cavalry Formations in add’l Combats."	
	Custine	–	Revolution	Revolution	2	0	1	2	2	Treason by Failure; Unavailable after July 1793.	
	d’Hillers	"Revolution, Early, Mid Wars"	Mid War	–	2	1	1	1	2	"An Untimely Death; During the retreat from Russia in 1812 one of d’Hiller’s brigades surrenders to the Russians. He is removed from command and sent to France for an inquiry into his conduct, but falls ill and dies in Germany.
Unavailable after 1812."	
	Dampierre	Revolution	Revolution	Revolution	2	0	1	2	3	"A Date with Death; Wounded by artillery at the Battle of Raismes, Dampierre dies the following day. -2 to Leader Fate, 1793. Unavailable after May 1793."	
	Davout	Revolution	"Early, Mid, Late Wars"	"Mid, Late Wars"	3	1	3	3	3	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815.
Charmed Death; +2 to Leader Fate.
The Iron Marshal & His Immortals; Davout requires: Morand, Friant & Gudin, 1804-1811.
Xeme Légion; Infantry Formations are Enthusiastic [EN] & Stoic [ST] 1804-1812."	
	Drouet	"Early, Mid, Late Wars"	"Mid, Late Wars"	–	1	1	2	1	2	"Aide-de-Camp; ADC to Lefebvre, 1794-1796.
Chosen Successor; As Lefebvre’s chief-of-sta? after the Spring Campaign in Bavaria, Drouet will take command of the VIIeme (Bavarian) Corps d’armée if Lefebvre is removed by Leader Fate, 1809."	
	Drouot	"Mid, Late Wars"	Late War	–	2	3	1	1	2	"Aide-de-Camp; ADC to Napoléon, 1813.
Particular Specialty; If commanding an Artillery Formation, all of Drouot’s bonuses are +3.
Grand Battery; May command Grand Batteries.
Captain of the Guard; May command Garde Impériale Formations, 1813; or an Garde Impériale Force if Mortier is not present, 1813-1815."	
	Dumouriez	–	Revolution	Revolution	1	0	1	1	1	Traitor to the Révolution; Unavailable after April 1793.	
	Dupont	"Revolution, Early, Mid Wars"	Mid War	–	2	1	2	1	3	Otherwise Engaged; Unavailable after 1808.	
	Espagne	"Early, Mid Wars"	–	–	2	1	0	2	2	"Mass Cavalry; May Convert Cavalry in add’l Combats.
A Date with Death; Severely wounded while leading a series of cavalry charges to protect Lannes’ infantry at Aspern-Essling, d’Espagne dies later that day on Lobau Island. -2 to Leader Fate, 1809. Unavailable after 1809."	
	Eugène	–	"Early, Mid, Late Wars"	"Mid, Late Wars"	2	1	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1796-1798.
Dispatch ADCs; May replace Commanders with Aides-de-Camp.
Chosen Successor; If neither Napoléon nor Murat is present and Eugène is, he must command the Army, 1812-1814."	
	Exelmans	"Early, Mid Wars"	Late War	–	3	1	0	1	3	"Aide-de-Camp; ADC to Murat, 1801-1808 & 1811-1813.
Captain of the Guard; May command Garde Impériale Cavalry Formations, 1812.
Mass Cavalry; May Convert Cavalry in add’l Combats."	
	Friant	"Revolution, Early, Mid, Late Wars"	–	–	3	3	3	3	3	"Davout’s Immortals; Required Formation Commander for Davout’s IIIeme Corps d’armée, 1804-1811.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1807, 1809, 1812 & 1815. Captain of the Guard; May command Garde Impériale Infantry Formations, 1813-1815."	
	Gérard	Mid War	Late War	–	2	1	2	2	2	"Aide-de-Camp; ADC to Bernadotte, 1795.
Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1813."	
	Gourgaud	–	–	–	2	2	1	1	2	"Aide-de-Camp; ADC to Napoléon, 1812-1815.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1814.
Particular Specialty; May only command Artillery Formations, 1812-1815.
Grand Battery; May command Grand Batteries."	
	Grouchy	"Revolution, Early Wars"	"Mid, Late Wars"	Late War	2	1	2	2	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1815.
Mass Cavalry; May Convert Cavalry in add’l Combats."	
	Gudin	"Revolution, Early, Mid Wars"	–	–	3	1	3	2	3	"Davout’s Immortals; Required Formation Commander for Davout’s IIIeme Corps d’armée, 1804-1811.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1806.
A Date with Death; Gudin is killed in Russia during the pursuit action at Loubino, following the Battle of Smolensk. -2 Leader Fate, 1812. Unavailable after 1812."	
	Guyot	"Mid, Late Wars"	–	–	2	0	1	2	2	"Mass Cavalry; May Convert Cavalry Formations in additional Combats.
Preferred Assignment; May only command Cavalry Formations.
Captain of the Guard; May command Garde Impériale Cavalry Formations, 1802-1815.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1813 & 1815."	
	Houchard	Revolution	Revolution	Revolution	1	0	1	3	3	"Mass Cavalry; May convert Cavalry in add’l Combats.
Promoted to the Guillotine; Unavailable after September 1793."	
	Jérôme-Napoléon	Late War	Mid War	–	1	0	1	0	1	"By Popular Demand; Jérôme is required to command the VIIIeme (Westphalian) Corps d’armée, 1812.
Lack of Commitment; At the game’s start, roll 2D6, on a result of 8+ Jérôme abandons his command and Junot takes his place, 1812."	
	Jordan	"Revolution, Early, Mid, Late Wars"	"Revolution, Early, Mid, Late Wars"	"Revolution, Early, Mid, Late Wars"	2	1	2	1	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815.
Major-général; May act as chief-of-sta? to Joseph-Napoléon, providing a +1 to Joseph’s Command when in contact (maximum Command Bonus 3),
1806-1811."	
	Joseph	–	"Mid, Late Wars"	"Mid, Late Wars"	1	0	0	1	1	"Chosen Successor; Joseph must command the Army in Spain if Napoléon or Masséna are not present or if either are removed due to Leader Fate,
1808-1813."	
	Junot	–	"Early, Mid Wars"	–	?	?	?	?	?	"Aide-de-Camp; ADC to Napoléon, 1793-1798.
Erratic Talent; After receiving a head wound in 1796 Junot’s performance becomes inconsistent. At the start of the game, roll 1D6 for each Junot’s Command, Threat, Combat, and Cohesion:
1805-1808 1: +1, 2-5: +2, 6: +3
1809-1811 1-2: +1, 3-6: +2
1812 1-4: +1, 5-6; +2
An Untimely Death; Junot su?ers from severe depression as the period wore on. After the invasion of Russia he becomes the governor of Illyrian Provinces. In 1813 he dies suddenly, and is widely believed to have committed suicide, thus Junot is unavailable after 1812."	
	Kellermann	"Revolution, Early, Mid Wars"	Late War	–	2	0	1	1	2	Mass Cavalry; May Convert Cavalry in add’l Combats.	
	Kellermann the Older	–	Revolution	Revolution	2	1	2	2	3	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1814."	
	La Houssaye	"Mid, Late Wars"	–	–	2	0	2	1	2	"Mass Cavalry; May Convert Cavalry in add’l Combats.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1812.
Unfortunate Captured; Captured by the Russians, unavailable after 1812."	
	La Tour-Maubourg	Early War	"Mid, Late Wars"	–	2	0	2	2	2	Mass Cavalry; May Convert Cavalry in add’l Combats.	
	Lannes	Revolution	"Revolution, Early, Mid Wars"	–	3	2	3	3	3	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1809.
A Date with Death; At the Battle of Aspern-Essling, Lannes’ legs are taken by Austrian artillery just minutes after he witnesses the death of his friend, Général Pouzet. His right leg is amputated, but he dies eight days later, -2 to Leader Fate, 1809. Unavailable after 1809."	
	Lariboisière	"Revolution, Early, Mid Wars"	–	–	2	2	1	1	2	"Captain of the Guard; May command Garde Impériale Artillery Formations, 1806-1807.
Grand Battery; May command Grand Batteries.
An Untimely Death; Following the retreat out of Russia, Riboisière arrives in Königsberg where he dies of fatigue in December of 1812. Unavailable after 1812."	
	Lasalle	"Early, Mid Wars"	Mid War	–	3	0	1	3	3	"Mass Cavalry; May Convert Cavalry in add’l Combats.
A Date with Death; At the Battle of Wagram, separated from his own division while charging the Austrians, Lasalle leads the 1er Cuirassiers  forward, is wounded in the chest, and then shot in the head. Born in 1775, he dies at 34,
-2 to Leader Fate, 1809. Unavailable after 1809."	
	Lauriston	Mid War	Late War	–	2	2	1	1	2	"Aide-de-Camp; ADC to Napoléon, 1800-1809.
Grand Battery; May command Grand Batteries.
Captain of the Guard; May command Garde Impériale Artillery Forces and Formations, 1809."	
	Lefebvre	"Early, Mid, Late Wars"	"Revolution, Early, Mid, Late Wars"	Revolution	1	1	2	1	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815.
Dispatch ADCs; May replace Commanders with ADCs.
Captain of the Guard; May Command Garde Impériale Forces and Infantry Formations, 1804-1815."	
	Lefèbvre-Desnoëttes	"Mid, Late Wars"	Late War	–	2	1	2	2	2	"Aide-de-Camp; ADC to Napoléon 1798-1800.
Mass Cavalry; May Convert Cavalry Formations in additional Combats. Captain of the Guard; May command Garde Impériale Cavalry Formations, 1813-1815."	
	Lobau	"Early, Mid Wars"	Late War	–	2	3	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1809-1813.
Grand Battery; May Command Grand Batteries.
Unfortunate Capture; Serving with Gouvion-Saint-Cyr in Dresden when the city is compelled to capitulate Mouton is captured. Unavailable in 1814."	
