Russian Command											
Card Available	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	Aleksandr	–	–	"Revolution, Early, Mid, Late Wars"	0	0	0	0	3	"In His Presence; When in Personal Command Aleksandr’s Cmd is +3.
Fate of an Empire; If Aleksandr dies, the Russians lose.
My Life for the Tsar; The Imperatorskaya Leib-Gvardii may not be present unless Aleksandr is present; 1805-1811 & 1813-1814.
I have an Idea!; Aleksandr moves full toward the Army Cmdr during Moves, when in contact causes Cmd -3; 1805, 1813-1814."	
	Baggovut	"Early, Mid Wars"	"Early, Mid Wars"	–	2	0	0	2	3	"Close Enough; Born in Estonia to a Norwegian family who had migrated from Sweden 200 years ago, his lineage is mostly accepted by the Chistoi Russkoi. Baggovut neither triggers nor su?ers Chistoi Russkoi penalties.
Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1807.
A Date with Death; -2 in Leader Fate, 1812."	
	Bagration	"Early, Mid Wars"	"Early, Mid Wars"	Mid War	2	0	1	2	3	"Chistoi Russkoi; Command Tests targeting Bagration subtract, not add, his Command Bonus unless the issuing Commander is also Chistoi Russkoi, or in contact with the Tsar.
Personal Rivalry; May not be a subordinate of Miloradovich.
A Date with Death; -2 in Leader Fate, 1812."	
	Barclay de Tolly	Late War	"Mid, Late Wars"	"Mid, Late Wars"	2	1	1	1	2	"Not from Around Here; Born in Germany to a Scottish family, Barclay is new to the Russian nobility and actively disliked by Chistoi Russkoi, i.e. “pure” Russians."	
	Bennigsen	Late War	"Mid, Late Wars"	"Mid, Late Wars"	2	0	1	1	2	"Not from Around Here; Born in Brunswick to a noble Hanoverian family, Bennigsen is not of the Russian nobility and often argues with Chistoi Russkoi,
i.e. “pure” Russians.
Personal Rivalry; May not be a subordinate of Osten-Sacken, 1808-1815. Owed a Favor; Bennigsen plans the assassination of Tsar Pavel I, resulting in Aleksandr’s ascension and Bennigsen’s promotion. Bennigsen can replace any Russian Army Commander but Barclay de Tolly or Kutusov, 1802-1815."	
	Berg	"Early, Mid, Late Wars"	"Mid, Late Wars"	–	2	0	1	1	2	"Almost like Family; Gregor von Berg is born to a Baltic-German family, however, his family’s close ties to the Imperial family results in Catherine the Great accepting the honor of being his godmother. Berg neither triggers nor su?ers Chistoi Russkoi penalties.
Flirts with Death; Berg is wounded multiple times during the Patriotic War and the War of Liberation, once at Polotsk in 1812 and then again at Reichenbach in 1813; -1 in Leader Fate, but +2 if Harmed, 1812-1813."	
	Borozdin-1	"Mid, Late Wars"	Late War	–	1	0	1	1	2	"Chistoi Russkoi; Command Tests targeting Borozdin subtract, not add, his Command Bonus unless the issuing Commander is also Chistoi Russkoi, or in contact with the Tsar."	
	Borozdin-2	"Mid, Late Wars"	Late War	–	2	0	0	1	2	"Chistoi Russkoi; Command Tests targeting Borozdin subtract, not add, his Command Bonus unless the issuing Commander is also Chistoi Russkoi, or in contact with the Tsar.
Mass Cavalry; May Convert Cavalry Formations in additional Combats."	
	Buxhoeveden	–	"Early, Mid Wars"	"Early, Mid Wars"	1	0	1	1	1	"Chistoi Russkoi; Command Tests targeting Buxhoeveden subtract, not add, his Command Bonus unless the issuing Commander is also Chistoi Russkoi, or in contact with the Tsar.
Personal Rivalry; May not be a subordinate of Bennigsen, 1806-1815."	
